Nome da Música,Nome do Artista,Ano de Lançamento,Gênero Musical,Letra da Música,Playlist
Telegrama,Zeca Baleiro,2002,MPB,"Eu tava triste, tristinho
Mais sem graça que a top-model magrela
Na passarela
Eu tava só, sozinho!
Mais solitário que um paulistano
Que um canastrão na hora que cai o pano
Tava mais bobo que banda de rock
Que um palhaço do circo Vostok

Mas ontem eu recebi um telegrama
Era você de Aracaju ou do Alabama
Dizendo: Nêgo, sinta-se feliz
Porque no mundo tem alguém que diz
Que muito te ama!
Que tanto te ama!
Que muito, muito te ama
Que tanto te ama!

Por isso hoje eu acordei
Com uma vontade danada
De mandar flores ao delegado
De bater na porta do vizinho
E desejar bom dia
De beijar o português
Da padaria

Hoje eu acordei
Com uma vontade danada
De mandar flores ao delegado
De bater na porta do vizinho
E desejar bom dia
De beijar o português
Da padaria

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Eu tava triste, tristinho!
Mais sem graça que a top-model magrela
Na passarela
Eu tava só, sozinho!
Mais solitário que um paulistano
Que um vilão de filme mexicano
Tava mais bobo que banda de rock
Que um palhaço do circo Vostok

Mas ontem eu recebi um telegrama
Era você de Aracaju ou do Alabama
Dizendo: Nego sinta-se feliz
Porque no mundo tem alguém que diz
Que muito te ama!
Que tanto te ama!
Que muito te ama!
Que tanto, tanto te ama!

Por isso hoje eu acordei
Com uma vontade danada
De mandar flores ao delegado
De bater na porta do vizinho
E desejar bom dia
De beijar o português
Da padaria

Hoje eu acordei
Com uma vontade danada
De mandar flores ao delegado
De bater na porta do vizinho
E desejar bom dia
De beijar o português
Da padaria

Me dê a mão, vamos sair
Pra ver o sol!

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Hoje eu acordei
Com uma vontade danada
De mandar flores ao delegado
De bater na porta do vizinho
E desejar bom dia
De beijar o português
Da padaria

Hoje eu acordei
Com uma vontade danada
De mandar flores ao delegado
De bater na porta do vizinho
E desejar bom dia
De beijar o português
Da padaria

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Mama! Oh Mama! Oh Mama!
Quero ser seu
Quero ser seu
Quero ser seu
Quero ser seu papa!

Me dê a mão, vamos sair
Pra ver o sol",Top Hits de 2002
Coisas do Amor (Fã de Carteirinha) / Você Pode - Ao Vivo,Pixote,2007,Pagode,"Eu não sei se você sabe
Mas preciso tanto te dizer
Tô parado aqui pensando
Onde é que anda você

Será que você tá na minha?
Eu sei lá o que você quer
Sou teu fã de carteirinha
Tudo bem, seja o que Deus quiser

Mas tanto que eu te falei, falei e nada
Tantas vezes que eu te pedi, pedi e nada
E se pensa que é a dona da verdade, não é nada
E agora acha que é feliz, mas tá errada

Pois quando a gente se ama é um show
Parece que o amor da gente, recomeçou
A cada dia ele aumenta
E o coração não aguenta
De tanto que te esperou

Mas de repente você me deixa só
Aí então a cabeça dá um nó
Assim não muda de assunto
Por que a gente não tá junto?
Sei lá, são coisas do amor",Top Hits de 2002
Admirável Chip Novo,Pitty,2003,Rock,"Pane no sistema, alguém me desconfigurou
Aonde estão meus olhos de robô?
Eu não sabia, eu não tinha percebido
Eu sempre achei que era vivo

Parafuso e fluido em lugar de articulação
Até achava que aqui batia um coração
Nada é orgânico, é tudo programado
E eu achando que tinha me libertado

Mas lá vêm eles novamente
Eu sei o que vão fazer
Reinstalar o sistema

Pense, fale, compre, beba
Leia, vote, não se esqueça
Use, seja, ouça, diga
Tenha, more, gaste, viva

Pense, fale, compre, beba
Leia, vote, não se esqueça
Use, seja, ouça, diga

Não, senhor, sim, senhor
Não, senhor, sim, senhor

Pane no sistema, alguém me desconfigurou
Aonde estão meus olhos de robô?
Eu não sabia, eu não tinha percebido
Eu sempre achei que era vivo

Parafuso e fluido em lugar de articulação
Até achava que aqui batia um coração
Nada é orgânico, é tudo programado
E eu achando que tinha me libertado

Mas lá vêm eles novamente
Eu sei o que vão fazer
Reinstalar o sistema

Pense, fale, compre, beba
Leia, vote, não se esqueça
Use, seja, ouça, diga
Tenha, more, gaste, viva

Pense, fale, compre, beba
Leia, vote, não se esqueça
Use, seja, ouça, diga

Não, senhor, sim, senhor
Não, senhor, sim, senhor

Mas lá vêm eles novamente
Eu sei o que vão fazer
Reinstalar o sistema",Top Hits de 2003
Amor e Sexo,Rita Lee,2003,MPB,"Amor é um livro
Sexo é esporte
Sexo é escolha
Amor é sorte

Amor é pensamento
Teorema
Amor é novela
Sexo é cinema

Sexo é imaginação
Fantasia
Amor é prosa
Sexo é poesia

O amor nos torna
Patéticos
Sexo é uma selva
De epiléticos

Amor é cristão
Sexo é pagão
Amor é latifúndio
Sexo é invasão

Amor é divino
Sexo é animal
Amor é bossa nova
Sexo é carnaval
Oh, oh, uh

Amor é para sempre
Sexo também
Sexo é do bom
Amor é do bem

Amor sem sexo
É amizade
Sexo sem amor
É vontade

Amor é um
Sexo é dois
Sexo antes
Amor depois

Sexo vem dos outros
E vai embora
Amor vem de nós
E demora

Amor é cristão
Sexo é pagão
Amor é latifúndio
Sexo é invasão

Amor é divino
Sexo é animal
Amor é bossa nova
Sexo é carnaval
Oh, oh, uh

Amor é isso
Sexo é aquilo
E coisa e tal
E tal e coisa
Uh, uh, uh
Ai, o amor
Hum, o sexo",Top Hits de 2003
Equalize,Pitty,2003,Rock,"Às vezes, se eu me distraio
Se eu não me vigio um instante
Me transporto pra perto de você
Já vi que não posso ficar tão solta
Me vem logo aquele cheiro
Que passa de você pra mim
Num fluxo perfeito

Enquanto você conversa e me beija
Ao mesmo tempo eu vejo
As suas cores no seu olho
Tão de perto

Me balanço devagar
Como quando você me embala
O ritmo rola fácil
Parece que foi ensaiado

E eu acho que eu gosto mesmo de você
Bem do jeito que você é

Eu vou equalizar você
Numa frequência que só a gente sabe
Eu te transformei nessa canção
Pra poder te gravar em mim

Adoro essa sua cara de sono
E o timbre da sua voz
Que fica me dizendo coisas tão malucas
E que quase me mata de rir
Quando tenta me convencer
Que eu só fiquei aqui
Porque nós dois somos iguais

Até parece que você já tinha
O meu manual de instruções
Porque você decifra os meus sonhos
Porque você sabe o que eu gosto
E porque quando você me abraça
O mundo gira devagar

E o tempo é só meu
E ninguém registra a cena
De repente vira um filme
Todo em câmera lenta

E eu acho que eu gosto mesmo de você
Bem do jeito que você é

Eu vou equalizar você
Numa frequência que só a gente sabe
Eu te transformei nessa canção
Pra poder te gravar em mim

Eu vou equalizar você
Numa frequência que só a gente sabe
Eu te transformei nessa canção
Pra poder te gravar em mim",Top Hits de 2003
Será que é amor - Ao vivo,Arlindo Cruz,2003,Samba,"Eu tenho tanto pra te falar
Não sei por onde vou começar
Toda hora que eu te vejo
Quase morro de desejo
Acho que é paixão

A timidez tentou me calar
Mas desta vez não posso guardar
Toda hora eu te admiro
Toda hora eu te respiro
Acho que é paixão

Será que é amor?
Parece muito mais
Meu anjo, minha flor
Minha canção de paz
A luz do teu olhar
Clareia o meu viver
Não posso mais ficar sem você

Não deixa, não deixa o nosso desejo virar poeira
Um oceano de amor que não pode secar
Minha paixão eu te juro é pra vida inteira
E você pode usar e abusar de amar",Top Hits de 2003
Último Romance,Los Hermanos,2003,MPB,"Eu encontrei-a quando não quis
Mais procurar o meu amor
E quanto levou foi pra eu merecer
Antes um mês e eu já não sei

E até quem me vê lendo o jornal
Na fila do pão, sabe que eu te encontrei
E ninguém dirá que é tarde demais
Que é tão diferente assim
Do nosso amor a gente é que sabe, pequena

Ah, vai
Me diz o que é o sufoco
Que eu te mostro alguém
A fim de te acompanhar
E se o caso for de ir à praia
Eu levo essa casa numa sacola

Eu encontrei-a e quis duvidar
Tanto clichê, deve não ser
Você me falou pra eu não me preocupar
Ter fé e ver coragem no amor

E só de te ver, eu penso em trocar
A minha TV, num jeito de te levar
A qualquer lugar que você queira
E ir aonde o vento for
Que pra nós dois
Sair de casa já é se aventurar

Ah, vai
Me diz o que é o sossego
Que eu te mostro alguém
A fim de te acompanhar
E se o tempo for te levar
Eu sigo essa hora, pego carona
Pra te acompanhar",Top Hits de 2003
Cara valente,Maria Rita,2003,MPB,"Não, ele não vai mais dobrar
Pode até se acostumar
Ele vai viver sozinho
Desaprendeu a dividir

Foi escolher o mal-me-quer
Entre o amor de uma mulher
E as certezas do caminho
Ele não pôde se entregar
E agora vai ter de pagar
Com o coração

Olha lá!
Ele não é feliz
Sempre diz
Que é do tipo cara valente
Mas veja só
A gente sabe
Esse humor
É coisa de um rapaz
Que sem ter proteção
Foi se esconder atrás
Da cara de vilão
Então, não faz assim, rapaz
Não bota esse cartaz
A gente não cai não

Ê! Ê!
Ele não é de nada
Oiá!
Essa cara amarrada
É só!
Um jeito de viver na pior
Ê! Ê!
Ele não é de nada
Oiá!
Essa cara amarrada
É só!
Um jeito de viver
Nesse mundo de mágoas

Não, ele não vai mais dobrar
Pode até se acostumar
Ele vai viver sozinho
Desaprendeu a dividir

Foi escolher o mal-me-quer
Entre o amor de uma mulher
E as certezas do caminho
Ele não pôde se entregar
E agora vai ter de pagar
Com o coração

Olha lá!
Ele não é feliz
Sempre diz
Que é do tipo cara valente
Mas veja só
A gente sabe
Esse humor
É coisa de um rapaz
Que sem ter proteção
Foi se esconder atrás
Da cara de vilão
Então, não faz assim, rapaz
Não bota esse cartaz
A gente não cai não

Ê! Ê!
Ele não é de nada
Oiá!
Essa cara amarrada
É só!
Um jeito de viver na pior
Ê! Ê!
Ele não é de nada
Oiá!
Essa cara amarrada
É só!
Um jeito de viver
Nesse mundo de mágoas

Ê! ê! ê! ê!
Ê! ê! ê! ê!

Ê! Ê!
Ele não é de nada
Ê! Ê!
Ele não é de nada
Ê! Ê!
Ele não é de nada
Ê! Ê!
Só come marmelada
Ê! Ê!
Ele não é de nada
Ê! Ê!
Ele não é de nada",Top Hits de 2003
Paciência,Lenine,1999,MPB,"Mesmo quando tudo pede
Um pouco mais de calma
Até quando o corpo pede
Um pouco mais de alma
A vida não para

Enquanto o tempo
Acelera e pede pressa
Eu me recuso, faço hora
Vou na valsa
A vida é tão rara

Enquanto todo mundo
Espera a cura do mal
E a loucura finge
Que isso tudo é normal
Eu finjo ter paciência

O mundo vai girando
Cada vez mais veloz
A gente espera do mundo
E o mundo espera de nós
Um pouco mais de paciência

Será que é tempo
Que lhe falta pra perceber?
Será que temos esse tempo
Pra perder?
E quem quer saber?
A vida é tão rara
Tão rara

Mesmo quando tudo pede
Um pouco mais de calma
Até quando o corpo pede
Um pouco mais de alma
Eu sei, a vida não para
A vida não para não

Será que é tempo
Que lhe falta pra perceber?
Será que temos esse tempo
Pra perder?
E quem quer saber?
A vida é tão rara
Tão rara

Mesmo quando tudo pede
Um pouco mais de calma
Até quando o corpo pede
Um pouco mais de alma
Eu sei, a vida é tão rara
A vida não para não

A vida é tão rara",Top Hits de 2003
100% Você,Chiclete Com Banana,2002,Axé,"Vai, vai, vai, vai!
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê

Um céu sem estrelas
Uma praia sem mar
Amor sem carinho
Romance sem par
Carnaval sem festa
Um jardim sem flor
É assim que eu me sinto
Longe do seu amor

Como enganar o coração
Tão ligado nesse amor?
Como viver a minha vida
Sem teu jeito sedutor?
Não dá mais pra segurar
Tô viciado em você, vambora!

Não dá, não dá
Pra ficar, pra ficar
Sem te ver
Já estou ficando louco
Não dá, não dá
Pra ficar, pra ficar
Sem te ver
Sou 100% você

Joga a mão!
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê
Diga, diga, diga!
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê

Estrada sem rumo
Saudade sem dor
TV sem novela
Arco-íris sem cor
Chiclete sem nana
Verão sem calor
É assim que eu me sinto
Longe do seu amor

Como enganar o coração
Tão ligado nesse amor?
Como viver a minha vida
Sem teu jeito sedutor?
Não dá mais pra segurar
Tô viciado em você

Vamo simbora!

Não dá, não dá
Pra ficar, pra ficar
Sem te ver
Já estou ficando louco
Não dá, não dá
Pra ficar, pra ficar
Sem te ver
Sou 100% você

Vai, vai!
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê
Vai, vai, vai, vai!
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê

Ah, é!

Um céu sem estrelas
Uma praia sem mar
Amor sem carinho
Romance sem par
Carnaval sem festa
Um jardim sem flor
É assim que eu me sinto
Longe do seu amor

Como enganar o coração
Tão ligado nesse amor?
Como viver a minha vida
Sem teu jeito sedutor?
Não dá mais pra segurar
Tô viciado em você, vai, vai!

Não dá, não dá
Pra ficar, pra ficar
Sem te ver
Já estou ficando louco
Não dá, não dá
Pra ficar, pra ficar
Sem te ver
Sou 100% você

Ê
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê
Ô-lê-lê-lê
Lê-lê, lê-lê-lê-lê-lê-lê-lê
Ô-lê-lê-lê, lê-lê-lê-lê-lê-lê-lê-lê
Lê-lê-lê-lê-lê-lê-lê",Top Hits de 2004
Gênio da Lata,Asa De Águia,1998,Axé,"Meu bem
Você me liberou
Pode abrir a lata
Que o gênio chegou
Você é quem manda
Eu sou seu escravo
Ta tudo bem
Fique aqui do meu lado

Mil e uma noites de amor
Dê uma esfregadinha
E sinta o sabor
Da latinha mágica
Peça seu desejo
Eu vou realizar
Você vai querer

Pode pedir, pode levar
Peça um, peça dois, peça três
Pode pedir, pode levar
Peça tudo
E leve de uma vez",Top Hits de 2004
